Epoch,Total Epochs,Accuracy,Loss,Val Accuracy,Val Loss
1,20,0.9552,0.1146,0.7301,3.2916
2,20,0.9918,0.0265,0.4141,13.3735
3,20,0.9929,0.0224,0.7289,3.3014
4,20,0.999,0.0047,0.8319,0.7892
5,20,0.9962,0.0139,0.9042,0.963
6,20,0.9999,0.00050656,0.8778,1.3075
7,20,0.9958,0.012,0.9259,0.6358
8,20,0.9987,0.0052,0.8373,1.2554
9,20,0.9915,0.0328,0.8065,1.3683
10,20,0.9978,0.0082,0.8266,1.2707
11,20,0.9969,0.0126,0.673,4.339
12,20,0.9979,0.0069,0.8429,1.0473
13,20,0.9979,0.0065,0.9365,0.3173
14,20,0.9992,0.0049,0.8787,1.27
15,20,0.9973,0.0085,0.808,2.2816
16,20,0.9984,0.0061,0.9127,0.9816
17,20,0.9959,0.015,0.7019,2.8427
18,20,0.9972,0.0081,0.8828,0.7295
19,20,0.9977,0.0055,0.9522,0.5612
20,20,1.0,0.00046882,0.9965,0.0332
